FeatureCode,DateCode,Measurement,Units,Value,Indicator (public transport)
S12000019,2018,Count,Train Stations,4,Number Of Passenger Train Stations
S12000019,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000019,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,2016,Count,Train Stations,4,Number Of Passenger Train Stations
S12000018,2016,Count,Train Stations,14,Number Of Passenger Train Stations
S12000019,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000020,2013,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2008,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2009,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2010,Count,Train Stations,9,Number Of Passenger Train Stations
S12000020,2011,Count,Train Stations,3,Number Of Passenger Train Stations
S12000019,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,2014,Count,Train Stations,0,Number Of Passenger Train Stations
S12000019,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000020,2015,Count,Train Stations,3,Number Of Passenger Train Stations
S12000019,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000017,2017,Count,Train Stations,59,Number Of Passenger Train Stations
S12000018,2012,Count,Train Stations,14,Number Of Passenger Train Stations
S12000017,2018,Count,Train Stations,59,Number Of Passenger Train Stations
S12000018,2011,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2009,Count,Train Stations,14,Number Of Passenger Train Stations
S12000017,2009,Count,Train Stations,58,Number Of Passenger Train Stations
S12000017,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000017,2008,Count,Train Stations,58,Number Of Passenger Train Stations
S12000017,2011,Count,Train Stations,59,Number Of Passenger Train Stations
S12000017,2012,Count,Train Stations,59,Number Of Passenger Train Stations
S12000018,2015,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2008,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000018,2017,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2013,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2006,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2014,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2018,Count,Train Stations,14,Number Of Passenger Train Stations
S12000018,2007,Count,Train Stations,14,Number Of Passenger Train Stations
S12000023,2014,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2015,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2011,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2016,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2018,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000021,2007,Count,Train Stations,12,Number Of Passenger Train Stations
S12000023,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2017,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000026,2009,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2008,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2013,Count,Train Stations,0,Number Of Passenger Train Stations
S12000023,2007,Count,Train Stations,0,Number Of Passenger Train Stations
S12000020,2016,Count,Train Stations,3,Number Of Passenger Train Stations
S12000021,2012,Count,Train Stations,12,Number Of Passenger Train Stations
S12000020,2018,Count,Train Stations,3,Number Of Passenger Train Stations
S12000021,2011,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2013,Count,Train Stations,12,Number Of Passenger Train Stations
S12000020,2012,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2014,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2017,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2007,Count,Train Stations,3,Number Of Passenger Train Stations
S12000020,2006,Count,Train Stations,3,Number Of Passenger Train Stations
S12000021,2017,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2016,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2009,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2006,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2008,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2015,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2014,Count,Train Stations,12,Number Of Passenger Train Stations
S12000021,2010,Count,Train Stations,11,Number Of Passenger Train Stations
S12000021,2018,Count,Train Stations,12,Number Of Passenger Train Stations
S12000047,2008,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2009,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2016,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2006,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2010,Count,Train Stations,13,Number Of Passenger Train Stations
S08000028,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000047,2018,Count,Train Stations,19,Number Of Passenger Train Stations
S08000026,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000047,2007,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2011,Count,Train Stations,19,Number Of Passenger Train Stations
S12000048,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2015,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2013,Count,Train Stations,7,Number Of Passenger Train Stations
S12000047,2015,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2012,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2013,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2014,Count,Train Stations,19,Number Of Passenger Train Stations
S12000047,2017,Count,Train Stations,19,Number Of Passenger Train Stations
S12000045,2014,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2006,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2007,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2010,Count,Train Stations,19,Number Of Passenger Train Stations
S12000045,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S08000020,2012,Count,Train Stations,11,Number Of Passenger Train Stations
S08000022,2012,Count,Train Stations,73,Number Of Passenger Train Stations
S08000019,2012,Count,Train Stations,12,Number Of Passenger Train Stations
S08000025,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S08000024,2012,Count,Train Stations,30,Number Of Passenger Train Stations
S08000015,2012,Count,Train Stations,27,Number Of Passenger Train Stations
S12000045,2013,Count,Train Stations,6,Number Of Passenger Train Stations
S08000017,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S08000016,2012,Count,Train Stations,0,Number Of Passenger Train Stations
S12000050,2006,Count,Train Stations,23,Number Of Passenger Train Stations
S12000050,2009,Count,Train Stations,24,Number Of Passenger Train Stations
S12000049,2017,Count,Train Stations,58,Number Of Passenger Train Stations
S12000050,2007,Count,Train Stations,23,Number Of Passenger Train Stations
S12000050,2010,Count,Train Stations,9,Number Of Passenger Train Stations
S12000049,2016,Count,Train Stations,58,Number Of Passenger Train Stations
S12000049,2018,Count,Train Stations,58,Number Of Passenger Train Stations
S12000049,2011,Count,Train Stations,58,Number Of Passenger Train Stations
S12000049,2012,Count,Train Stations,58,Number Of Passenger Train Stations
S12000049,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000050,2013,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2012,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2014,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2016,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2017,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2008,Count,Train Stations,23,Number Of Passenger Train Stations
S12000050,2011,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2015,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,2018,Count,Train Stations,25,Number Of Passenger Train Stations
S12000048,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S08000030,2012,Count,Train Stations,16,Number Of Passenger Train Stations
S08000029,2012,Count,Train Stations,19,Number Of Passenger Train Stations
S12000048,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2010,Count,Train Stations,12,Number Of Passenger Train Stations
S12000048,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2014,Count,Train Stations,7,Number Of Passenger Train Stations
S12000048,2016,Count,Train Stations,7,Number Of Passenger Train Stations
S12000049,2009,Count,Train Stations,60,Number Of Passenger Train Stations
S12000049,2008,Count,Train Stations,60,Number Of Passenger Train Stations
S12000049,2015,Count,Train Stations,58,Number Of Passenger Train Stations
S12000049,2006,Count,Train Stations,60,Number Of Passenger Train Stations
S12000049,2013,Count,Train Stations,58,Number Of Passenger Train Stations
S08000032,2012,Count,Train Stations,43,Number Of Passenger Train Stations
S08000031,2012,Count,Train Stations,113,Number Of Passenger Train Stations
S12000049,2014,Count,Train Stations,58,Number Of Passenger Train Stations
S12000049,2007,Count,Train Stations,60,Number Of Passenger Train Stations
S12000036,2009,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,2017,Count,Train Stations,12,Number Of Passenger Train Stations
S12000036,2012,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,2010,Count,Train Stations,25,Number Of Passenger Train Stations
S12000035,2017,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2013,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2016,Count,Train Stations,14,Number Of Passenger Train Stations
S12000036,2011,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,2016,Count,Train Stations,12,Number Of Passenger Train Stations
S12000036,2014,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,2018,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,2018,Count,Train Stations,12,Number Of Passenger Train Stations
S12000036,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000036,2013,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,2015,Count,Train Stations,11,Number Of Passenger Train Stations
S12000034,2014,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2010,Count,Train Stations,3,Number Of Passenger Train Stations
S12000035,2006,Count,Train Stations,14,Number Of Passenger Train Stations
S12000034,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2013,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000034,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000035,2014,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2007,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2009,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2018,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2015,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2008,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2012,Count,Train Stations,14,Number Of Passenger Train Stations
S12000035,2010,Count,Train Stations,12,Number Of Passenger Train Stations
S12000035,2011,Count,Train Stations,14,Number Of Passenger Train Stations
S12000042,2016,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2018,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2015,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2007,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2006,Count,Train Stations,2,Number Of Passenger Train Stations
S12000041,2013,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2016,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000042,2014,Count,Train Stations,2,Number Of Passenger Train Stations
S12000041,2014,Count,Train Stations,7,Number Of Passenger Train Stations
S12000042,2009,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2011,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2008,Count,Train Stations,2,Number Of Passenger Train Stations
S12000045,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000045,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000042,2012,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2017,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2013,Count,Train Stations,2,Number Of Passenger Train Stations
S12000042,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000038,2009,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,2014,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,2012,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,2013,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,2015,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,2016,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,2011,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,2017,Count,Train Stations,11,Number Of Passenger Train Stations
S12000038,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000038,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000041,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2015,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2010,Count,Train Stations,0,Number Of Passenger Train Stations
S12000041,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000041,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2014,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000005,2014,Count,Train Stations,1,Number Of Passenger Train Stations
S12000006,2015,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2013,Count,Train Stations,7,Number Of Passenger Train Stations
S12000008,2016,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000008,2017,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,2010,Count,Train Stations,6,Number Of Passenger Train Stations
S12000006,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2016,Count,Train Stations,7,Number Of Passenger Train Stations
S12000006,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000005,2018,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2016,Count,Train Stations,1,Number Of Passenger Train Stations
S92000003,2009,Count,Train Stations,349,Number Of Passenger Train Stations
S12000005,2008,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2006,Count,Train Stations,0,Number Of Passenger Train Stations
S92000003,2006,Count,Train Stations,344,Number Of Passenger Train Stations
S92000003,2012,Count,Passenger Journeys,420,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,2018,Count,Vehicle Kilometres,332,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,2017,Count,Passenger Journeys,390,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000005,2007,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2011,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2015,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2012,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2009,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2013,Count,Train Stations,1,Number Of Passenger Train Stations
S12000005,2010,Count,Train Stations,2,Number Of Passenger Train Stations
S12000005,2017,Count,Train Stations,1,Number Of Passenger Train Stations
S12000010,2016,Count,Train Stations,7,Number Of Passenger Train Stations
S12000011,2008,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,2015,Count,Train Stations,7,Number Of Passenger Train Stations
S12000011,2007,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2012,Count,Train Stations,9,Number Of Passenger Train Stations
S12000010,2013,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2009,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2014,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2018,Count,Train Stations,7,Number Of Passenger Train Stations
S12000011,2016,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2013,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2017,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2018,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2010,Count,Train Stations,1,Number Of Passenger Train Stations
S12000011,2011,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2009,Count,Train Stations,9,Number Of Passenger Train Stations
S12000011,2006,Count,Train Stations,9,Number Of Passenger Train Stations
S12000008,2012,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000008,2014,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2009,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2008,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2007,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2013,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2018,Count,Train Stations,6,Number Of Passenger Train Stations
S12000008,2011,Count,Train Stations,6,Number Of Passenger Train Stations
S12000010,2010,Count,Train Stations,14,Number Of Passenger Train Stations
S12000010,2008,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2007,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2017,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2006,Count,Train Stations,7,Number Of Passenger Train Stations
S12000008,2006,Count,Train Stations,6,Number Of Passenger Train Stations
S12000010,2011,Count,Train Stations,7,Number Of Passenger Train Stations
S12000010,2012,Count,Train Stations,7,Number Of Passenger Train Stations
S12000040,2010,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,2007,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,2013,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2009,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2008,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,2017,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2006,Count,Train Stations,10,Number Of Passenger Train Stations
S12000040,2018,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2014,Count,Train Stations,12,Number Of Passenger Train Stations
S92000003,2015,Count,Passenger Journeys,410,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,2004,Count,Vehicle Kilometres,359,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,2011,Count,Train Stations,348,Number Of Passenger Train Stations
S92000003,2010,Count,Train Stations,348,Number Of Passenger Train Stations
S92000003,2014,Count,Passenger Journeys,414,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,2016,Count,Passenger Journeys,395,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,2007,Count,Passenger Journeys,487,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,2003,Count,Passenger Journeys,478,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000039,2014,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2017,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2009,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2013,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2007,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2018,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2015,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2011,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2012,Count,Train Stations,13,Number Of Passenger Train Stations
S12000040,2011,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2012,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2015,Count,Train Stations,12,Number Of Passenger Train Stations
S12000040,2016,Count,Train Stations,12,Number Of Passenger Train Stations
S12000039,2010,Count,Train Stations,7,Number Of Passenger Train Stations
S12000039,2006,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2016,Count,Train Stations,13,Number Of Passenger Train Stations
S12000039,2008,Count,Train Stations,13,Number Of Passenger Train Stations
S92000003,2016,Count,Train Stations,357,Number Of Passenger Train Stations
S92000003,2007,Count,Train Stations,345,Number Of Passenger Train Stations
S92000003,2015,Count,Train Stations,356,Number Of Passenger Train Stations
S92000003,2009,Count,Vehicle Kilometres,377,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,2010,Count,Passenger Journeys,430,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
