FeatureCode,DateCode,Measurement,Units,Value,Indicator (road vehicles)
S12000038,2015,Count,ktonnes,106,Total Amount Of Petrol And Diesel Consumed
S12000038,2018,Count,ktonnes,108,Total Amount Of Petrol And Diesel Consumed
S12000014,2009,Count,ktonnes,110,Total Amount Of Petrol And Diesel Consumed
S12000038,2009,Count,ktonnes,109,Total Amount Of Petrol And Diesel Consumed
S12000018,2017,Count,ktonnes,35,Total Amount Of Petrol And Diesel Consumed
S12000035,2008,Count,ktonnes,59,Total Amount Of Petrol And Diesel Consumed
S12000035,2006,Count,ktonnes,59,Total Amount Of Petrol And Diesel Consumed
S12000018,2007,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000018,2008,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000036,2013,Count,ktonnes,227,Total Amount Of Petrol And Diesel Consumed
S12000018,2015,Count,ktonnes,34,Total Amount Of Petrol And Diesel Consumed
S12000036,2008,Count,ktonnes,247,Total Amount Of Petrol And Diesel Consumed
S12000035,2007,Count,ktonnes,59,Total Amount Of Petrol And Diesel Consumed
S12000036,2006,Count,ktonnes,243,Total Amount Of Petrol And Diesel Consumed
S12000018,2012,Count,ktonnes,35,Total Amount Of Petrol And Diesel Consumed
S12000018,2006,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000035,2013,Count,ktonnes,56,Total Amount Of Petrol And Diesel Consumed
S12000018,2005,Count,ktonnes,38,Total Amount Of Petrol And Diesel Consumed
S12000018,2013,Count,ktonnes,34,Total Amount Of Petrol And Diesel Consumed
S12000035,2009,Count,ktonnes,58,Total Amount Of Petrol And Diesel Consumed
S12000018,2010,Count,ktonnes,37,Total Amount Of Petrol And Diesel Consumed
S12000018,2009,Count,ktonnes,38,Total Amount Of Petrol And Diesel Consumed
S12000035,2011,Count,ktonnes,56,Total Amount Of Petrol And Diesel Consumed
S12000018,2014,Count,ktonnes,35,Total Amount Of Petrol And Diesel Consumed
S12000017,2013,Count,ktonnes,170,Total Amount Of Petrol And Diesel Consumed
S12000036,2018,Count,ktonnes,228,Total Amount Of Petrol And Diesel Consumed
S12000036,2009,Count,ktonnes,246,Total Amount Of Petrol And Diesel Consumed
S12000036,2011,Count,ktonnes,233,Total Amount Of Petrol And Diesel Consumed
S12000036,2012,Count,ktonnes,228,Total Amount Of Petrol And Diesel Consumed
S12000017,2014,Count,ktonnes,173,Total Amount Of Petrol And Diesel Consumed
S12000017,2018,Count,ktonnes,184,Total Amount Of Petrol And Diesel Consumed
S12000017,2006,Count,ktonnes,171,Total Amount Of Petrol And Diesel Consumed
S12000036,2014,Count,ktonnes,228,Total Amount Of Petrol And Diesel Consumed
S12000017,2015,Count,ktonnes,176,Total Amount Of Petrol And Diesel Consumed
S12000018,2016,Count,ktonnes,34,Total Amount Of Petrol And Diesel Consumed
S12000036,2007,Count,ktonnes,249,Total Amount Of Petrol And Diesel Consumed
S12000018,2018,Count,ktonnes,34,Total Amount Of Petrol And Diesel Consumed
S12000036,2005,Count,ktonnes,240,Total Amount Of Petrol And Diesel Consumed
S12000036,2015,Count,ktonnes,230,Total Amount Of Petrol And Diesel Consumed
S12000017,2012,Count,ktonnes,169,Total Amount Of Petrol And Diesel Consumed
S12000018,2011,Count,ktonnes,36,Total Amount Of Petrol And Diesel Consumed
S12000036,2016,Count,ktonnes,232,Total Amount Of Petrol And Diesel Consumed
S12000036,2010,Count,ktonnes,238,Total Amount Of Petrol And Diesel Consumed
S12000036,2017,Count,ktonnes,230,Total Amount Of Petrol And Diesel Consumed
S12000010,2010,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000042,2005,Count,ktonnes,63,Total Amount Of Petrol And Diesel Consumed
S12000010,2009,Count,ktonnes,62,Total Amount Of Petrol And Diesel Consumed
S12000010,2011,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000010,2008,Count,ktonnes,64,Total Amount Of Petrol And Diesel Consumed
S12000010,2007,Count,ktonnes,66,Total Amount Of Petrol And Diesel Consumed
S12000042,2014,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000042,2015,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000042,2013,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000042,2006,Count,ktonnes,65,Total Amount Of Petrol And Diesel Consumed
S12000010,2012,Count,ktonnes,58,Total Amount Of Petrol And Diesel Consumed
S12000010,2017,Count,ktonnes,66,Total Amount Of Petrol And Diesel Consumed
S12000042,2016,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000010,2015,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000042,2012,Count,ktonnes,62,Total Amount Of Petrol And Diesel Consumed
S12000011,2013,Count,ktonnes,52,Total Amount Of Petrol And Diesel Consumed
S12000010,2005,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000042,2007,Count,ktonnes,67,Total Amount Of Petrol And Diesel Consumed
S12000010,2006,Count,ktonnes,64,Total Amount Of Petrol And Diesel Consumed
S12000042,2017,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000042,2008,Count,ktonnes,67,Total Amount Of Petrol And Diesel Consumed
S12000008,2009,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000045,2018,Count,ktonnes,40,Total Amount Of Petrol And Diesel Consumed
S12000008,2006,Count,ktonnes,77,Total Amount Of Petrol And Diesel Consumed
S12000008,2016,Count,ktonnes,71,Total Amount Of Petrol And Diesel Consumed
S12000045,2017,Count,ktonnes,40,Total Amount Of Petrol And Diesel Consumed
S12000008,2011,Count,ktonnes,73,Total Amount Of Petrol And Diesel Consumed
S12000008,2007,Count,ktonnes,77,Total Amount Of Petrol And Diesel Consumed
S12000008,2010,Count,ktonnes,74,Total Amount Of Petrol And Diesel Consumed
S12000008,2008,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000045,2013,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000010,2013,Count,ktonnes,58,Total Amount Of Petrol And Diesel Consumed
S12000045,2015,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000010,2018,Count,ktonnes,66,Total Amount Of Petrol And Diesel Consumed
S12000010,2014,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000010,2016,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000008,2005,Count,ktonnes,79,Total Amount Of Petrol And Diesel Consumed
S12000045,2012,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000045,2016,Count,ktonnes,39,Total Amount Of Petrol And Diesel Consumed
S12000008,2013,Count,ktonnes,71,Total Amount Of Petrol And Diesel Consumed
S12000045,2014,Count,ktonnes,40,Total Amount Of Petrol And Diesel Consumed
S12000041,2016,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000041,2015,Count,ktonnes,75,Total Amount Of Petrol And Diesel Consumed
S12000011,2012,Count,ktonnes,52,Total Amount Of Petrol And Diesel Consumed
S12000041,2018,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000041,2014,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000011,2017,Count,ktonnes,54,Total Amount Of Petrol And Diesel Consumed
S12000041,2007,Count,ktonnes,77,Total Amount Of Petrol And Diesel Consumed
S12000041,2010,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000041,2017,Count,ktonnes,78,Total Amount Of Petrol And Diesel Consumed
S12000041,2011,Count,ktonnes,74,Total Amount Of Petrol And Diesel Consumed
S12000013,2016,Count,ktonnes,15,Total Amount Of Petrol And Diesel Consumed
S12000013,2006,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000013,2014,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000013,2005,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000013,2018,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000013,2017,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000013,2008,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000041,2013,Count,ktonnes,74,Total Amount Of Petrol And Diesel Consumed
S12000013,2011,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000013,2012,Count,ktonnes,14,Total Amount Of Petrol And Diesel Consumed
S12000011,2007,Count,ktonnes,56,Total Amount Of Petrol And Diesel Consumed
S12000042,2009,Count,ktonnes,66,Total Amount Of Petrol And Diesel Consumed
S12000011,2006,Count,ktonnes,56,Total Amount Of Petrol And Diesel Consumed
S12000011,2010,Count,ktonnes,55,Total Amount Of Petrol And Diesel Consumed
S12000011,2014,Count,ktonnes,53,Total Amount Of Petrol And Diesel Consumed
S12000042,2011,Count,ktonnes,63,Total Amount Of Petrol And Diesel Consumed
S12000011,2016,Count,ktonnes,53,Total Amount Of Petrol And Diesel Consumed
S12000042,2018,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000042,2010,Count,ktonnes,64,Total Amount Of Petrol And Diesel Consumed
S12000011,2005,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000041,2005,Count,ktonnes,70,Total Amount Of Petrol And Diesel Consumed
S12000041,2009,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000041,2012,Count,ktonnes,73,Total Amount Of Petrol And Diesel Consumed
S12000041,2006,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000041,2008,Count,ktonnes,78,Total Amount Of Petrol And Diesel Consumed
S12000011,2011,Count,ktonnes,54,Total Amount Of Petrol And Diesel Consumed
S12000011,2008,Count,ktonnes,56,Total Amount Of Petrol And Diesel Consumed
S12000011,2009,Count,ktonnes,56,Total Amount Of Petrol And Diesel Consumed
S12000011,2018,Count,ktonnes,54,Total Amount Of Petrol And Diesel Consumed
S12000011,2015,Count,ktonnes,53,Total Amount Of Petrol And Diesel Consumed
S12000030,2010,Count,ktonnes,85,Total Amount Of Petrol And Diesel Consumed
S12000026,2016,Count,ktonnes,80,Total Amount Of Petrol And Diesel Consumed
S12000026,2018,Count,ktonnes,80,Total Amount Of Petrol And Diesel Consumed
S12000026,2008,Count,ktonnes,79,Total Amount Of Petrol And Diesel Consumed
S12000026,2007,Count,ktonnes,80,Total Amount Of Petrol And Diesel Consumed
S12000026,2014,Count,ktonnes,77,Total Amount Of Petrol And Diesel Consumed
S12000030,2018,Count,ktonnes,85,Total Amount Of Petrol And Diesel Consumed
S12000030,2014,Count,ktonnes,82,Total Amount Of Petrol And Diesel Consumed
S12000030,2005,Count,ktonnes,84,Total Amount Of Petrol And Diesel Consumed
S12000026,2011,Count,ktonnes,77,Total Amount Of Petrol And Diesel Consumed
S12000030,2012,Count,ktonnes,81,Total Amount Of Petrol And Diesel Consumed
S12000026,2013,Count,ktonnes,75,Total Amount Of Petrol And Diesel Consumed
S12000026,2015,Count,ktonnes,78,Total Amount Of Petrol And Diesel Consumed
S12000026,2005,Count,ktonnes,76,Total Amount Of Petrol And Diesel Consumed
S12000029,2011,Count,ktonnes,207,Total Amount Of Petrol And Diesel Consumed
S12000027,2008,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000026,2010,Count,ktonnes,78,Total Amount Of Petrol And Diesel Consumed
S12000026,2009,Count,ktonnes,79,Total Amount Of Petrol And Diesel Consumed
S12000026,2006,Count,ktonnes,79,Total Amount Of Petrol And Diesel Consumed
S12000026,2017,Count,ktonnes,81,Total Amount Of Petrol And Diesel Consumed
S12000026,2012,Count,ktonnes,75,Total Amount Of Petrol And Diesel Consumed
S12000023,2009,Count,ktonnes,9,Total Amount Of Petrol And Diesel Consumed
S12000023,2010,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2006,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2005,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2011,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2016,Count,ktonnes,9,Total Amount Of Petrol And Diesel Consumed
S12000023,2007,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2017,Count,ktonnes,9,Total Amount Of Petrol And Diesel Consumed
S12000023,2014,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2008,Count,ktonnes,9,Total Amount Of Petrol And Diesel Consumed
S12000030,2008,Count,ktonnes,89,Total Amount Of Petrol And Diesel Consumed
S12000030,2006,Count,ktonnes,89,Total Amount Of Petrol And Diesel Consumed
S12000030,2017,Count,ktonnes,86,Total Amount Of Petrol And Diesel Consumed
S12000030,2007,Count,ktonnes,91,Total Amount Of Petrol And Diesel Consumed
S12000030,2009,Count,ktonnes,87,Total Amount Of Petrol And Diesel Consumed
S12000030,2013,Count,ktonnes,80,Total Amount Of Petrol And Diesel Consumed
S12000030,2015,Count,ktonnes,83,Total Amount Of Petrol And Diesel Consumed
S12000023,2018,Count,ktonnes,9,Total Amount Of Petrol And Diesel Consumed
S12000030,2016,Count,ktonnes,84,Total Amount Of Petrol And Diesel Consumed
S12000030,2011,Count,ktonnes,83,Total Amount Of Petrol And Diesel Consumed
S12000028,2017,Count,ktonnes,68,Total Amount Of Petrol And Diesel Consumed
S12000028,2009,Count,ktonnes,69,Total Amount Of Petrol And Diesel Consumed
S12000029,2009,Count,ktonnes,214,Total Amount Of Petrol And Diesel Consumed
S12000028,2018,Count,ktonnes,67,Total Amount Of Petrol And Diesel Consumed
S12000028,2016,Count,ktonnes,66,Total Amount Of Petrol And Diesel Consumed
S12000029,2018,Count,ktonnes,222,Total Amount Of Petrol And Diesel Consumed
S12000027,2015,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000027,2017,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000027,2013,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000029,2015,Count,ktonnes,210,Total Amount Of Petrol And Diesel Consumed
S12000028,2011,Count,ktonnes,67,Total Amount Of Petrol And Diesel Consumed
S12000028,2007,Count,ktonnes,70,Total Amount Of Petrol And Diesel Consumed
S12000028,2010,Count,ktonnes,69,Total Amount Of Petrol And Diesel Consumed
S12000028,2013,Count,ktonnes,64,Total Amount Of Petrol And Diesel Consumed
S12000028,2015,Count,ktonnes,66,Total Amount Of Petrol And Diesel Consumed
S12000028,2014,Count,ktonnes,65,Total Amount Of Petrol And Diesel Consumed
S12000028,2012,Count,ktonnes,65,Total Amount Of Petrol And Diesel Consumed
S12000028,2008,Count,ktonnes,70,Total Amount Of Petrol And Diesel Consumed
S12000028,2006,Count,ktonnes,69,Total Amount Of Petrol And Diesel Consumed
S12000028,2005,Count,ktonnes,67,Total Amount Of Petrol And Diesel Consumed
S12000029,2006,Count,ktonnes,215,Total Amount Of Petrol And Diesel Consumed
S12000029,2010,Count,ktonnes,210,Total Amount Of Petrol And Diesel Consumed
S12000029,2005,Count,ktonnes,209,Total Amount Of Petrol And Diesel Consumed
S12000029,2012,Count,ktonnes,209,Total Amount Of Petrol And Diesel Consumed
S12000029,2017,Count,ktonnes,224,Total Amount Of Petrol And Diesel Consumed
S12000027,2012,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000029,2013,Count,ktonnes,209,Total Amount Of Petrol And Diesel Consumed
S12000029,2007,Count,ktonnes,219,Total Amount Of Petrol And Diesel Consumed
S12000029,2008,Count,ktonnes,216,Total Amount Of Petrol And Diesel Consumed
S12000029,2014,Count,ktonnes,210,Total Amount Of Petrol And Diesel Consumed
S12000029,2016,Count,ktonnes,212,Total Amount Of Petrol And Diesel Consumed
S12000027,2018,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000027,2005,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000027,2016,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000027,2014,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000027,2006,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000027,2010,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000027,2011,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000027,2007,Count,ktonnes,13,Total Amount Of Petrol And Diesel Consumed
S12000027,2009,Count,ktonnes,12,Total Amount Of Petrol And Diesel Consumed
S12000020,2014,Count,ktonnes,47,Total Amount Of Petrol And Diesel Consumed
S12000034,2017,Count,ktonnes,201,Total Amount Of Petrol And Diesel Consumed
S12000020,2018,Count,ktonnes,50,Total Amount Of Petrol And Diesel Consumed
S12000020,2015,Count,ktonnes,47,Total Amount Of Petrol And Diesel Consumed
S12000020,2016,Count,ktonnes,48,Total Amount Of Petrol And Diesel Consumed
S12000020,2013,Count,ktonnes,46,Total Amount Of Petrol And Diesel Consumed
S12000019,2010,Count,ktonnes,44,Total Amount Of Petrol And Diesel Consumed
S12000019,2016,Count,ktonnes,44,Total Amount Of Petrol And Diesel Consumed
S12000034,2008,Count,ktonnes,188,Total Amount Of Petrol And Diesel Consumed
S12000034,2013,Count,ktonnes,175,Total Amount Of Petrol And Diesel Consumed
S12000034,2005,Count,ktonnes,178,Total Amount Of Petrol And Diesel Consumed
S12000020,2017,Count,ktonnes,50,Total Amount Of Petrol And Diesel Consumed
S12000020,2011,Count,ktonnes,46,Total Amount Of Petrol And Diesel Consumed
S12000034,2010,Count,ktonnes,179,Total Amount Of Petrol And Diesel Consumed
S12000020,2006,Count,ktonnes,47,Total Amount Of Petrol And Diesel Consumed
S12000020,2005,Count,ktonnes,46,Total Amount Of Petrol And Diesel Consumed
S12000034,2011,Count,ktonnes,175,Total Amount Of Petrol And Diesel Consumed
S12000034,2009,Count,ktonnes,182,Total Amount Of Petrol And Diesel Consumed
S12000034,2007,Count,ktonnes,190,Total Amount Of Petrol And Diesel Consumed
S12000034,2016,Count,ktonnes,185,Total Amount Of Petrol And Diesel Consumed
S12000034,2006,Count,ktonnes,188,Total Amount Of Petrol And Diesel Consumed
S12000019,2014,Count,ktonnes,43,Total Amount Of Petrol And Diesel Consumed
S12000019,2015,Count,ktonnes,43,Total Amount Of Petrol And Diesel Consumed
S12000035,2014,Count,ktonnes,57,Total Amount Of Petrol And Diesel Consumed
S12000019,2012,Count,ktonnes,42,Total Amount Of Petrol And Diesel Consumed
S12000035,2017,Count,ktonnes,61,Total Amount Of Petrol And Diesel Consumed
S12000035,2005,Count,ktonnes,58,Total Amount Of Petrol And Diesel Consumed
S12000035,2016,Count,ktonnes,59,Total Amount Of Petrol And Diesel Consumed
S12000035,2015,Count,ktonnes,58,Total Amount Of Petrol And Diesel Consumed
S12000019,2017,Count,ktonnes,45,Total Amount Of Petrol And Diesel Consumed
S12000035,2018,Count,ktonnes,60,Total Amount Of Petrol And Diesel Consumed
S12000019,2008,Count,ktonnes,45,Total Amount Of Petrol And Diesel Consumed
S12000019,2011,Count,ktonnes,43,Total Amount Of Petrol And Diesel Consumed
S12000019,2009,Count,ktonnes,45,Total Amount Of Petrol And Diesel Consumed
S12000019,2013,Count,ktonnes,42,Total Amount Of Petrol And Diesel Consumed
S12000035,2010,Count,ktonnes,57,Total Amount Of Petrol And Diesel Consumed
S12000035,2012,Count,ktonnes,55,Total Amount Of Petrol And Diesel Consumed
S12000019,2006,Count,ktonnes,44,Total Amount Of Petrol And Diesel Consumed
S12000019,2005,Count,ktonnes,43,Total Amount Of Petrol And Diesel Consumed
S12000019,2018,Count,ktonnes,45,Total Amount Of Petrol And Diesel Consumed
S12000019,2007,Count,ktonnes,45,Total Amount Of Petrol And Diesel Consumed
S12000021,2017,Count,ktonnes,51,Total Amount Of Petrol And Diesel Consumed
S12000033,2010,Count,ktonnes,93,Total Amount Of Petrol And Diesel Consumed
S12000021,2007,Count,ktonnes,54,Total Amount Of Petrol And Diesel Consumed
S12000033,2008,Count,ktonnes,99,Total Amount Of Petrol And Diesel Consumed
S12000033,2011,Count,ktonnes,91,Total Amount Of Petrol And Diesel Consumed
S12000021,2011,Count,ktonnes,52,Total Amount Of Petrol And Diesel Consumed
S12000021,2008,Count,ktonnes,55,Total Amount Of Petrol And Diesel Consumed
S12000021,2005,Count,ktonnes,53,Total Amount Of Petrol And Diesel Consumed
S12000021,2009,Count,ktonnes,54,Total Amount Of Petrol And Diesel Consumed
S12000021,2010,Count,ktonnes,52,Total Amount Of Petrol And Diesel Consumed
S12000023,2015,Count,ktonnes,9,Total Amount Of Petrol And Diesel Consumed
S12000033,2014,Count,ktonnes,91,Total Amount Of Petrol And Diesel Consumed
S12000033,2006,Count,ktonnes,101,Total Amount Of Petrol And Diesel Consumed
S12000033,2016,Count,ktonnes,90,Total Amount Of Petrol And Diesel Consumed
S12000033,2005,Count,ktonnes,95,Total Amount Of Petrol And Diesel Consumed
S12000033,2015,Count,ktonnes,90,Total Amount Of Petrol And Diesel Consumed
S12000023,2012,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000023,2013,Count,ktonnes,8,Total Amount Of Petrol And Diesel Consumed
S12000033,2009,Count,ktonnes,95,Total Amount Of Petrol And Diesel Consumed
S12000033,2007,Count,ktonnes,100,Total Amount Of Petrol And Diesel Consumed
S12000020,2008,Count,ktonnes,49,Total Amount Of Petrol And Diesel Consumed
S12000020,2007,Count,ktonnes,49,Total Amount Of Petrol And Diesel Consumed
S12000034,2018,Count,ktonnes,188,Total Amount Of Petrol And Diesel Consumed
S12000034,2012,Count,ktonnes,173,Total Amount Of Petrol And Diesel Consumed
S12000021,2014,Count,ktonnes,50,Total Amount Of Petrol And Diesel Consumed
S12000034,2014,Count,ktonnes,182,Total Amount Of Petrol And Diesel Consumed
S12000020,2010,Count,ktonnes,47,Total Amount Of Petrol And Diesel Consumed
S12000034,2015,Count,ktonnes,182,Total Amount Of Petrol And Diesel Consumed
S12000020,2012,Count,ktonnes,46,Total Amount Of Petrol And Diesel Consumed
S12000020,2009,Count,ktonnes,48,Total Amount Of Petrol And Diesel Consumed
S12000021,2013,Count,ktonnes,49,Total Amount Of Petrol And Diesel Consumed
S12000021,2016,Count,ktonnes,50,Total Amount Of Petrol And Diesel Consumed
S12000033,2017,Count,ktonnes,91,Total Amount Of Petrol And Diesel Consumed
S12000021,2006,Count,ktonnes,54,Total Amount Of Petrol And Diesel Consumed
S12000021,2018,Count,ktonnes,50,Total Amount Of Petrol And Diesel Consumed
S12000033,2012,Count,ktonnes,90,Total Amount Of Petrol And Diesel Consumed
S12000033,2013,Count,ktonnes,89,Total Amount Of Petrol And Diesel Consumed
S12000021,2015,Count,ktonnes,50,Total Amount Of Petrol And Diesel Consumed
S12000021,2012,Count,ktonnes,49,Total Amount Of Petrol And Diesel Consumed
S12000033,2018,Count,ktonnes,91,Total Amount Of Petrol And Diesel Consumed
S12000006,2009,Count,ktonnes,168,Total Amount Of Petrol And Diesel Consumed
S12000006,2010,Count,ktonnes,166,Total Amount Of Petrol And Diesel Consumed
S12000048,2006,Count,ktonnes,182,Total Amount Of Petrol And Diesel Consumed
S12000049,2012,Count,ktonnes,268,Total Amount Of Petrol And Diesel Consumed
S12000049,2013,Count,ktonnes,269,Total Amount Of Petrol And Diesel Consumed
S12000048,2008,Count,ktonnes,181,Total Amount Of Petrol And Diesel Consumed
S12000006,2005,Count,ktonnes,165,Total Amount Of Petrol And Diesel Consumed
S12000039,2015,Count,ktonnes,46,Total Amount Of Petrol And Diesel Consumed
S12000006,2008,Count,ktonnes,174,Total Amount Of Petrol And Diesel Consumed
S92000003,2015,Count,ktonnes,3173,Total Amount Of Petrol And Diesel Consumed
S12000048,2010,Count,ktonnes,175,Total Amount Of Petrol And Diesel Consumed
S12000048,2016,Count,ktonnes,176,Total Amount Of Petrol And Diesel Consumed
S12000006,2012,Count,ktonnes,162,Total Amount Of Petrol And Diesel Consumed
S12000049,2011,Count,ktonnes,266,Total Amount Of Petrol And Diesel Consumed
S12000005,2009,Count,ktonnes,21,Total Amount Of Petrol And Diesel Consumed
S12000040,2017,Count,ktonnes,127,Total Amount Of Petrol And Diesel Consumed
S12000040,2018,Count,ktonnes,128,Total Amount Of Petrol And Diesel Consumed
S12000048,2007,Count,ktonnes,184,Total Amount Of Petrol And Diesel Consumed
S12000050,2017,Count,ktonnes,251,Total Amount Of Petrol And Diesel Consumed
S12000048,2011,Count,ktonnes,174,Total Amount Of Petrol And Diesel Consumed
S12000048,2005,Count,ktonnes,177,Total Amount Of Petrol And Diesel Consumed
S12000040,2010,Count,ktonnes,124,Total Amount Of Petrol And Diesel Consumed
S92000003,2012,Count,ktonnes,3127,Total Amount Of Petrol And Diesel Consumed
S12000006,2013,Count,ktonnes,163,Total Amount Of Petrol And Diesel Consumed
